# bitsize(pq) p q pq
30 16519 47417 783281423
30 16553 37057 613404521
30 16649 61657 1026527393
30 16787 52147 875391689
30 16903 35053 592500859
30 16937 47507 804626059
30 16937 54799 928130663
30 17107 32783 560818781
30 17117 53917 922897289
30 17321 41051 711044371
30 17321 61051 1057464371
30 17341 35933 623114153
30 17383 51169 889470727
30 17393 44543 774736399
30 17443 52321 912635203
30 17449 46471 810872479
30 17729 38177 676840033
30 18049 59441 1072850609
30 18229 49597 904103713
30 18379 39373 723636367
30 18439 57791 1065608249
30 18457 31253 576836621
30 18481 38603 713422043
30 18493 37139 686811527
30 18521 49943 924994303
30 18719 31277 585474163
30 18719 46027 861579413
30 18731 55291 1035655721
30 18757 48187 903843559
30 19051 34231 652134781
30 19423 28069 545184187
30 19457 36791 715842487
30 19541 42157 823789937
30 19543 40529 792058247
30 19577 38867 760899259
30 19753 34939 690150067
30 19793 53087 1050750991
30 19913 45707 910163491
30 20327 39541 803749907
30 20369 48163 981032147
30 20407 35569 725856583
30 20407 49921 1018737847
30 20483 32587 667479521
30 20759 26237 544653883
30 20789 39343 817901627
30 21211 46181 979545191
30 21227 33751 716432477
30 21383 41341 883994603
30 21487 45821 984555827
30 21557 44507 959437399
30 21589 33409 721266901
30 21599 31069 671059331
30 21649 27689 599439161
30 21893 28181 616966633
30 21893 44983 984812819
30 21893 45833 1003421869
30 22123 48413 1071040799
30 22409 32707 732931163
30 22447 43853 984368291
30 22637 33343 754785491
30 22643 35491 803622713
30 22669 35407 802641283
30 22769 29033 661052377
30 23209 30403 705623227
30 23293 42967 1000830331
30 23417 32141 752645797
30 23509 36269 852647921
30 23741 24851 589987591
30 23743 28087 666869641
30 23747 41077 975455519
30 23887 24917 595192379
30 23899 26647 636836653
30 24001 36541 877020541
30 24049 32371 778490179
30 24049 33023 794170127
30 24103 24251 584521853
30 24107 30517 735673319
30 24169 42643 1030638667
30 24337 32749 797012413
30 24683 26357 650569831
30 24907 29753 741057971
30 24967 40559 1012636553
30 25073 36493 914988989
30 25121 26371 662465891
30 25561 34679 886429919
30 25633 35923 920814259
30 25657 31393 805450201
30 25933 38891 1008560303
30 26041 37409 974167769
30 26189 33829 885947681
30 26399 35221 929799179
30 26479 39863 1055532377
30 26561 30911 821027071
30 26693 29303 782184979
30 26699 38053 1015977047
30 26981 32381 873671761
30 28051 32687 916903037
30 29129 33199 967053671
30 29147 33151 966252197
30 30817 34367 1059087839
